"Column";"en";"de";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"card_unlock_colorless_all_title";"Earth's Crust";"Erdkruste";"La Croûte terrestre";"Crosta da Terra";"Земная кора";"La Corteza Terrestre";"Crosta Terrestre";"";"";"Korst van de Aarde";"Skorupa Ziemska";"";"Crosta Terrestre";"Yerkabuğu";"";"Zemská Kůra";"Η κρούστα τής γης";"Földkéreg";"";"Scoarța terestrâ";"";"Земна кора";"قشرة الارض";"地球之壳";"地球之殼";"";"지각(地殼)";"";""
"card_unlock_green_bronze_all_title";"Wisp of the Grove";"Irrwisch des Hains";"Feu-follet du bosquet";"Punho do Bosque";"Светлячок рощи";"Brizna De La Arboleda";"Spirito del Bosco";"";"";"Wisp van de Bosschage";"Wiązka z Gaju";"";"Fogo-fátuo do Bosque";"Korunun Süpürgesi";"";"Duch Háje";"Το πνεύμα του άλσους";"A Liget Szelleme";"";"Măturica din Crâng";"";"Світлячок гаю";"";"林地虫群";"林地蟲群";"";"숲의 위습";"";""
"card_unlock_green_silver_all_title";"Druid Elder";"Druiden舁tester";"Ancien Druide";"Ancião Druida";"Старейшина Друидов";"Druida Anciano(a)";"Druido Anziano";"";"";"Oude Druïde";"Starszy Druid";"";"Druída Ancião";"Yaşlı Büyücü";"";"Druidský Stařešina";"Γέροντας Δρυΐδης";"Idős Druida";"";"Druid Bătrân";"";"Старійшина Друїдів";"";"德鲁依长者";"德魯依長者";"";"드루이드 장로";"";""
"card_unlock_green_gold_all_title";"Heart of the Forest";"Herz des Waldes";"Cœur de la forêt";"Coração da Floresta";"Сердце леса";"Corazón Del Bosque";"Cuore della Foresta";"Hjertet af skoven";"";"Hart van het Bos";"Serce Lasu";"Metsän sydän";"Coração da Floresta";"Ormanın Kalbi";"";"Srdce Lesa";"Καρδιά του δάσους";"Az Erdő Szíve";"";"Inima padurii";"Corazón del Bosque";"Серце лісу";"قلب الغابة";"森林之心";"森林之心";"";"숲의 심장";"";""
"card_unlock_green_all_title";"Mother Nature";"Mutter Natur";"Mère Nature";"Mãe Natureza";"Мать Природа";"Madre Naturaleza";"Madre Natura";"";"";"Moeder Natuur";"Matka Natura";"";"Mãe Natureza";"Doğa Ana";"";"Matka Příroda";"Μητέρα Φύση";"Anyatermészet";"";"Mama Natură";"";"Мати природа";"الطبيعة الام";"自然之母";"自然之母";"";"대자연";"";""
"card_unlock_white_bronze_all_title";"Follower of Light";"Anh舅ger des Lichts";"Adepte de la Lumière";"Seguidor da Luz";"Следующий за Светом";"Seguidor De La Luz";"Seguace della Luce";"";"";"Volger van het Licht";"Podążający za Światłem";"";"Seguidor da Luz";"Işığın Takipçisi";"";"Následovník Světla";"Ακόλουθος του Φωτός";"A Fény Követője";"";"Adept al luminii";"";"Послідовник світла";"تابع الضوء";"光之跟随者";"光之跟隨者";"";"빛의 추종자";"";""
"card_unlock_white_silver_all_title";"Champion of Light";"Verfechter des Lichts";"Champion de la Lumière";"Campeão da Luz";"Воин Света";"Campeón De La Luz";"Campione della Luce";"";"";"Kampioen van het Licht";"Orędownik Światła";"";"Campeão da Luz";"Işığın Şampiyonu";"";"Šampión Světla";"Πρωταθλητής τού Φωτός";"A Fény Bajnoka";"";"Campion al luminii";"";"Воїн Світла";"بطل الضوء";"光之冠军";"光之勝者";"";"빛의 용사";"";""
"card_unlock_white_gold_all_title";"Saint of Light";"Groﾟheiliger des Lichts";"Saint de la Lumière";"Santo da Luz";"Святой";"Santo de la luz";"Santo della Luce";"";"";"Heilige van het Licht";"Święty Światła";"";"Santo da Luz";"Işığın Azizi";"";"Svatý Světla";"Άγιος του Φωτός";"A Fény Szentje";"";"Sfântul Luminii";"";"Святий";"قديس الضوء";"光之圣徒";"光之聖徒";"";"빛의 성인";"นักบวชแห่งแสง";""
"card_unlock_white_all_title";"Righteous Avatar";"Avatar der Gerechtigkeit";"Avatar du juste";"Avatar íntegro";"Праведный Аватар";"Avatar Justo";"Avatar Virtuoso";"";"";"Rechtvaardig Avatar";"Prawy Awatar";"";"Avatar Íntegro";"Salih Avatar";"";"Avatar Spravedlivosti";"Ενάρετο Άβαταρ";"Az Fény Szülöttje";"";"Avaratul drept";"";"Праведний Аватар";"";"正义化身";"正義化身";"";"정의의 화신";"";""
"card_unlock_all_title";"Master of the Cards";"Meister der Karten";"Maître des Cartes";"Mestre das Cartas";"Мастер Карт";"Maestro De Las Cartas";"Mastro delle Carte";"";"";"Meester van de kaarten";"Mistrz Kart";"";"Mestre das Cartas";"Kartların Ustası";"";"Pán Karet";"Μάστορας στις κάρτες";"Kártyaforgató";"";"Stăpânul cărților";"";"Майстер Карт";"";"卡牌大师";"卡牌大師";"";"카드 마스터";"";""
"player_level_5_title";"Finally level 5!";"Endlich Level 5!";"Enfin niveau 5 !";"Finalmente nível 5!";"Наконец-то уровень 5!";"¡Finalmente Nivel 5!";"Finalmente il livello 5!";"Endelig niveau 5!";"";"Eindelijk level 5!";"Nareszcie poziom 5!";"";"Finalmente nível 5!";"Sonunda 5. seviye!";"";"Konečně na úrovni 5!";"Επιτέλους επίπεδο 5!";"Végre 5. szint!";"";"În sfârșit nivelul 5!";"";"Нарешті рівень 5!";"اخيرا المستوى 5!";"终于 5 级了！";"終於 5 級了！";"";"드디어 5 레벨!";"ในที่สุดก็เวล 5!";""
"player_level_10_title";"Finally level 10!";"Endlich Level 10!";"Enfin niveau 10 !";"Finalmente nível 10!";"Наконец-то уровень 10!";"¡Finalmente Nivel 10!";"Finalmente il livello 10!";"Endelig niveau 10!";"";"Eindelijk level 10!";"Nareszcie poziom 10!";"";"Finalmente nível 10!";"Sonunda 10. seviye!";"";"Konečně úroveň 10!";"Επιτέλους επίπεδο 10!";"Végre 10. szint!";"";"În sfârșit nivelul 10!";"";"Нарешті рівень 10!";"اخيرا المستوى 10!";"终于 10 级了！";"終於 10 級了！";"";"드디어 10 레벨!";"ในที่สุดก็เวล 10!";""
"player_level_15_title";"Finally level 15!";"Endlich Level 15!";"Enfin niveau 15 !";"Finalmente nível 15!";"Наконец-то уровень 15!";"¡Finalmente Nivel 15!";"Finalmente il livello 15!";"Endelig niveau 15!";"";"Eindelijk level 15!";"Nareszcie poziom 15!";"";"Finalmente nível 15!";"Sonunda 15. seviye!";"";"Konečně úroveň 15!";"Επιτέλους επίπεδο 15!";"Végre 15. szint!";"";"În sfârșit nivelul 15!";"";"Нарешті рівень 15!";"اخيرا مستوى 15!";"终于 15 级了！";"終於 15 級了！";"";"드디어 15 레벨!";"ในที่สุดก็เวล 15!";""
"player_level_20_title";"Finally level 20!";"Endlich Level 20!";"Enfin niveau 20 !";"Finalmente nível 20!";"Наконец-то уровень 20!";"¡Finalmente Nivel 20!";"Finalmente il livello 20!";"Endelig niveau 20!";"";"Eindelijk level 20!";"Nareszcie poziom 20!";"";"Finalmente nível 20!";"Sonunda 20. seviye!";"";"Konečně úroveň 20!";"Επιτέλους επίπεδο 20!";"Végre 20. szint!";"";"În sfârșit nivelul 20!";"";"Нарешті рівень 20!";"اخيرا مستوى 20!";"终于 20 级了！";"終於 20 級了！";"";"드디어 20 레벨!";"ในที่สุดก็เวล 20!";""
"player_level_25_title";"Finally level 25!";"Endlich Level 25!";"Enfin niveau 25 !";"Finalmente nível 25!";"Наконец-то уровень 25!";"¡Finalmente Nivel 25!";"Finalmente il livello 25!";"Endelig niveau 25!";"";"Eindelijk level 25!";"Nareszcie poziom 25!";"";"Finalmente nível 25!";"Sonunda 25. seviye!";"";"Konečně úroveň 25!";"Επιτέλους επίπεδο 25!";"Végre 25. szint!";"";"În sfârșit nivelul 25!";"";"Нарешті рівень 25!";"اخيرا مستوى 25!";"终于 25 级了！";"終於 25 級了！";"";"드디어 25 레벨!";"ในที่สุดก็เวล 25!";""
"player_level_30_title";"Finally level 30!";"Endlich Level 30!";"Enfin niveau 30 !";"Finalmente nível 30!";"Наконец-то уровень 30!";"¡Finalmente Nivel 30!";"Finalmente il livello 30!";"Endelig niveau 30!";"";"Eindelijk level 30!";"Nareszcie poziom 30!";"";"Finalmente nível 30!";"Sonunda 30. seviye!";"";"Konečně úroveň 30!";"Επιτέλους επίπεδο 30!";"Végre 30. szint!";"";"În sfârșit nivelul 30!";"";"Нарешті рівень 30!";"اخيرا مستوى 30!";"终于 30 级了！";"終於 30 級了！";"";"드디어 30 레벨!";"ในที่สุดก็เวล 30!";""
"player_level_35_title";"Finally level 35!";"Endlich Level 35!";"Enfin niveau 35 !";"Finalmente nível 35!";"Наконец-то уровень 35!";"¡Finalmente Nivel 35!";"Finalmente il livello 35!";"Endelig niveau 35!";"";"Eindelijk level 35!";"Nareszcie poziom 35!";"";"Finalmente nível 35!";"Sonunda 35. seviye!";"";"Konečně úroveň 35!";"Επιτέλους επίπεδο 35!";"Végre 35. szint!";"";"În sfârșit nivelul 35!";"";"Нарешті рівень 35!";"اخيرا مستوى 35!";"终于 35 级了！";"終於 35 級了！";"";"드디어 35 레벨!";"ในที่สุดก็เวล 35!";""
"player_level_40_title";"Finally level 40!";"Endlich Level 40!";"Enfin niveau 40 !";"Finalmente nível 40!";"Наконец-то уровень 40!";"¡Finalmente Nivel 40!";"Finalmente il livello 40!";"Endelig niveau 40!";"";"Eindelijk level 40!";"Nareszcie poziom 40!";"";"Finalmente nível 40!";"Sonunda 40. seviye!";"";"Konečně úroveň 40!";"Επιτέλους επίπεδο 40!";"Végre 40. szint!";"";"În sfârșit nivelul 40!";"";"Нарешті рівень 40!";"اخيرا مستوى 40!";"终于 40 级了！";"終於 40 級了！";"";"드디어 40 레벨!";"ในที่สุดก็เวล 40!";""
"player_level_45_title";"Finally level 45!";"Endlich Level 45!";"Enfin niveau 45 !";"Finalmente nível 45!";"Наконец-то уровень 45!";"¡Finalmente Nivel 45!";"Finalmente il livello Finalmente il livello 45!";"Endelig niveau 45!";"";"Eindelijk level 45!";"Nareszcie poziom 45!";"";"Finalmente nível 45!";"Sonunda 45. seviye!";"";"Konečně úroveň 45!";"Επιτέλους επίπεδο 45!";"Végre 45. szint!";"";"În sfârșit nivelul 45!";"";"Нарешті рівень 45!";"اخيرا مستوى 45!";"终于 45 级了！";"終於 45 級了！";"";"드디어 45 레벨!";"ในที่สุดก็เวล 45!";""
"player_level_50_title";"Finally level 50!";"Endlich Level 50!";"Enfin niveau 50 !";"Finalmente nível 50!";"Наконец-то уровень 50!";"¡Finalmente Nivel 50!";"Finalmente il livello 50!";"Endelig niveau 50!";"";"Eindelijk level 50!";"Nareszcie poziom 50!";"";"Finalmente nível 50!";"Sonunda 50. seviye!";"";"Konečně úroveň 50!";"Επιτέλους επίπεδο 50!";"Végre 50. szint!";"";"În sfârșit nivelul 50!";"";"Нарешті рівень 50!";"اخيرا مستوى 50!";"终于 50 级了！";"終於 50 級了！";"";"드디어 50 레벨!";"ในที่สุดก็เวล 50!";""
"player_level_55_title";"Finally level 55!";"Endlich Level 55!";"Enfin niveau 55 !";"Finalmente nível 55!";"Наконец-то уровень 55!";"¡Finalmente Nivel 55!";"Finalmente il livello 55!";"Endelig niveau 55!";"";"Eindelijk level 55!";"Nareszcie poziom 55!";"";"Finalmente nível 55!";"Sonunda 55. seviye!";"";"Konečně úroveň 55!";"Επιτέλους επίπεδο 55!";"Végre 55. szint!";"";"În sfârșit nivelul 55!";"";"Нарешті рівень 55!";"اخيرا مستوى 55!";"终于 55 级了！";"終於 55 級了！";"";"드디어 55 레벨!";"ในที่สุดก็เวล 55!";""
"player_level_60_title";"Finally maximum level!";"Endlich Maximallevel!";"Enfin le niveau maximum !";"Finalmente nível máximo!";"Максимальный уровень!";"¡Por fin el nivel máximo!";"Finalmente il massimo livello!";"Endelig højeste niveau!";"";"Eindelijk maximaal level!";"Nareszcie maksymalny poziom!";"";"Finalmente o nível máximo!";"Sonunda maksimum seviye!";"";"Konečně maximální úroveň!";"Επιτέλους το μέγιστο επίπεδο!";"Végre a legmagasabb szint!";"";"În sfârșit nivelul maxim!";"";"Максимальний рівень!";"اخيرا المستوى الاعلى!";"终于达到最高级了！";"終於達到最高級了！";"";"드디어 만렙!";"ในที่สุดก็เวลเต็ม!";""
"bonus_code_title";"Give me the LOOT!!";"Her mit der BEUTE!!";"Donnez-moi le BUTIN!!";"Dá-me o LOOT!!11";"Дайте мне ЛУУТ!!";"¡Dame el botín!";"Dammi il BOTTINO!!11";"";"";"Geef me de BUIT!!11";"Daj mi ŁUP!!";"";"Me dê a RECOMPENSA!!";"Bana GANİMETİ ver!!";"";"Dej mi KOŘIST!!";"Φέρε τα ΛΑΦΥΡΑ!!";"Add a ZSÁKMÁNYT!!!";"";"Dă-mi PRADA!!";"";"Дайте мне ЛУУТ!!";"اعطني الغنائم!!";"把该我的战利品给我！";"把該我的戰利品給我！";"";"전리품을 줘!";"";""
"buy_icon_title";"You're looking GOOD!";"Du siehst GUT aus!";"Vous avez l'air bon!";"Estás a ficar bom!";"Выглядишь ОТЛИЧНО!";"¡Te ves BIEN!";"Che BEL figurino!";"";"";"Jij bent GOED!";"ŚWIETNIE wyglądasz!";"";"Você está indo BEM!";"İYİ görünüyorsun!";"";"Vypadáš DOBŘE!";"Δείχνεις ΦΙΝΑ!";"Te aztán JÓL nézel ki!";"";"Arați bine!";"";"Виглядаєш ЧУДОВО!";"تبدو جيدا!";"您看来真真真真真的很不错！";"您看來真真真真真不錯！";"";"좋아 보이는데!";"นายดูดีมาก";""
"buy_deckslot_title";"Theorycrafter";"Theorycrafter";"Complotiste ";"Estratega";"Теоретикрафтер";"Artesanoteórico";"Sperimentatore";"";"";"Theoriecrafter";"Twórca Teorii";"";"Estrategista";"Teori Oluşturucusu";"";"Theorycrafter";"Στρατηγική";"Bővítés";"";"Cercetătorul Teoriei";"";"Теоретикрафтер";"";"理论堆建者";"理論堆建者";"";"이론가";"";""
"own_skin_title";"Shiny!";"Funkelnd!";"Brillant!";"Brilhante!";"Блестящий!";"¡Brillante!";"Luccicante!";"";"";"Glimmend!";"Błyskotki!";"";"Brilhante!";"Parıltılı!";"";"Zářící!";"Λάμπει!";"Fényes!";"";"Strălucitor!";"";"Блискучий!";"لامع!";"闪闪惹人爱！";"閃閃惹人愛！";"";"광이 나는군!";"เปล่งประกาย!";""
"edit_deck_title";"Deckbuilder";"Deckbuilder";"Constructeur de deck";"Construtor de Baralhos";"Создатель колод";"Constructor de Mazos";"Forgiatore di Mazzi";"";"";"Deckbouwer";"Twórca Talii";"Pakanrakentaja";"Criador de Baralhos";"Deste Kurucu";"";"Stavitel Balíčků";"Δημιουργός Τράπουλας";"Pakliépítő";"";"Constructor de pachete";"Constructor de paquetes";"Створювач колод";"بناء الدكة";"牌组建立";"牌組建立";"";"덱 관리자";"ผู้สร้างเด็ค";""
"play_duel_title";"Eye for an Eye";"Auge um Auge";"Oeil pour oeil";"Olho por olho";"Глаз за глаз";"Ojo Por Ojo";"Occhio per Occhio";"Øje for et øje";"";"Oog voor een Oog";"Oko za Oko";"";"Olho por Olho";"Göz Göze";"";"Oko za oko";"Οφθαλμόν αντί οφθαλμού";"Szemet Szemért";"";"Ochi pentru ochi";"";"Око за око";"العين بالعين";"以眼还眼";"以眼還眼";"";"눈에는 눈 이에는 이";"ตาต่อตาฟันต่อฟัน";""
"play_duel2v2_title";"Team Showdown";"Team Showdown";"Démonstration d'équipe";"Confronto de Equipas";"Командные Разборки";"Enfrentamiento De Equipo";"Duello a Squadre";"";"";"Team Confrontatie";"Drużynowy Pojedynek";"";"Confronto de Equipes";"Takım Hesaplaşması";"";"Zúčtování týmů";"Ομάδα Σόουνταουν";"Csapatos Leszámolás";"";"Confruntarea Echipei";"";"Командні Розбірки";"";"队伍对决";"隊伍對決";"";"팀과 결전의 시간";"";""
"play_duel3v3_title";"Triple Kill";"Dreifachtung";"Triple Kill";"Eliminação Tripla";"Тройное убийство";"Triple Matanza";"Tripla Uccisione";"";"";"Drievoudige moord";"Potrójne Zabójstwo";"";"Triple Kill";"Üçlü Öldürme";"";"Triple Kill";"Τριπλή βολή";"Hármas Gyilkosság";"";"Triplă ucidere";"";"Потрійне вбивство";"";"三杀";"三殺";"";"트리플 킬";"";""
"play_duel4v4_title";"Mass Event";"Massenveranstaltung";"Evénement de masse";"Grande Festa";"Массовое событие";"Evento Masivo";"Grande Evento";"";"";"Massa Evenement";"Zdarzenie Masowe";"";"Grande Evento";"Toplu Etkinlik";"";"Masová Akce";"Μαζικό γεγονός";"Tömeges Esemény";"";"Eveniment de masă";"";"Масова подія";"";"巨量事件";"巨量事件";"";"대량 이벤트";"";""
"win_pvp_stone_title";"Stone Champion";"Stein-Champion";"Champion en pierre";"Campeão de Pedra";"Каменный Чемпион";"Campeon De Piedra";"Campione Pietra";"Sten Mester";"";"Stenen Kampioen";"Kamienny Czempion";"";"Campeão de Pedra";"Taş Şampiyonu";"";"Šampión Kamení";"Λίθινος πρωταθλητής";"Kő Bajnok";"";"Campion de piatră";"";"Кам'яний Чемпіон";"";"石头级冠军";"石頭級冠軍";"";"스톤 투사";"";""
"win_pvp_bronze_title";"Bronze Champion";"Bronze-Champion";"Champion de bronze";"Campeão de Bronze";"Бронзовый Чемпион";"Campeón de Bronce";"Campione Bronzo";"Bronze Mester";"";"Bronzen Kampioen";"Brązowy Czempion";"";"Campeão de Bronze";"Bronz Şampiyonu";"";"Bronzový Šampión";"Χάλκινος πρωταθλητής";"Bronz Bajnok";"";"Campion de bronz";"";"Бронзовий Чемпіон";"";"青铜级冠军";"青銅級冠軍";"";"브론즈 투사";"";""
"win_pvp_silver_title";"Silver Champion";"Silber-Champion";"Champion d'argent";"Campeão de Prata";"Серебряный Чемпион";"Campeón de Plata";"Campione Argento";"Sølv Mester";"";"Zilveren Kampioen";"Srebrny Czempion";"";"Campeão de Prata";"Gümüş Şampiyonu";"";"Stříbrný Šampión";"Ασημένιος πρωταθλητής";"Ezüst Bajnok";"";"Campion de argint";"";"Срібний Чемпіон";"";"白银级冠军";"白銀級冠軍";"";"실버 투사";"";""
"win_pvp_gold_title";"Gold Champion";"Gold-Champion";"Champion d'or";"Campeão de Ouro";"Золотой Чемпион";"Campeón de Oro";"Campione Oro";"Guld Mester";"";"Gouden Kampioen";"Złoty Czempion";"";"Campeão de Ouro";"Altın Şampiyonu";"";"Zlatý Šampión";"Χρυσός πρωταθλητής";"Arany Bajnok";"";"Campion de aur";"";"Золотий Чемпіон";"";"黄金级冠军";"黃金級冠軍";"";"골드 투사";"";""
"win_pve_attack_solo_stone_title";"Granite Newbie";"Granitneuling";"Débutant de Granite";"Novato Granito";"Гранитный Новичок";"Novatito de Granito";"Novellino Granitico";"Granit Nybegynder";"";"Graniet Nieuweling";"Granitowy Nowicjusz";"";"Novato de Granito";"Granit Acemisi";"";"Žulový Nováček";"Γρανιτένιος νουμπάς";"Gránit Újonc";"";"Începător de granit";"";"Гранітний Новачок";"";"花岗岩新手";"花崗岩新手";"";"화강암 초보자";"";""
"win_pve_attack_solo_bronze_title";"Granite Challenger";"Granitherausforderer";"Défieur de Granite";"Granito Desafiador";"Гранитный Челленджер";"Retador De Granito";"Sfidante Granitico";"Granit Udfordrer";"";"Graniet Uitdager";"Granitowy Pretendent";"";"Desafiante de Granito";"Granit Meydan Okuyucusu";"";"Vyzyvatel Žuly";"Γρανιτένιος διεκδικητής";"Gránit Kihívó";"";"Provocator de granit";"";"Гранітний Челленджер";"";"花岗岩挑战者";"花崗岩挑戰者";"";"화강암 도전자";"";""
"win_pve_attack_solo_silver_title";"Granite Grinder";"Granitschleifer";"Broyeur de granite";"Triturador de Granito";"Сборщик гранита";"Moledor de Granito";"Macinatore Granitico";"";"";"Graniet Slijper";"Granitowy Wyjadacz";"";"Triturador de Granito";"Granit Öğütücüsü";"";"Brusič Žuly";"Γρανιτοθραύστης";"Gránit Csiszoló";"";"Concasor de granit";"";"Збирач граніту";"";"花岗岩研磨者";"花崗岩研磨者";"";"화강암 분쇄기";"";""
"win_pve_attack_solo_gold_title";"Granite Crusher";"Granitbrecher";"Exploseur de Granite";"Esmagador de Granito";"Дробитель гранита";"Destruidor De Granito";"Distruttore Granitico";"Granit Knuser";"";"Graniet Breker";"Granitowy Miażdżyciel";"";"Esmagador de Granito";"Granit Ezicisi";"";"Drtič Žuly";"Γρανιτένιος εξολοθρευτής";"Gránit Zúzó";"";"Concasor de granit";"";"Подрібнювач граніту";"";"花岗岩破碎者";"花崗岩破碎者";"";"화강암 파괴자";"";""
"win_pve_attack_solo_crystal_title";"Granite Conqueror";"Granitbezwinger";"Conquérant de Granite";"Conquistador de Granito";"Гранитный Завоеватель";"Conquistador de Granito";"Conquistatore Granitico";"";"";"";"Granitowy Zdobywca";"";"Conquistador De Granito";"Granit Fatihi";"";"Žulový Dobyvatel";"Γρανιτένιος κατακτητής";"Gránit Hódító";"";"Cuceritor de Granit";"";"Гранітний Завойовник";"";"花岗岩征服者";"花崗岩征服者";"";"화강암 정복자";"";""
"win_pve_attack_stone_title";"Junior Stonechucks";"Team Kieselschweif";"Bouts de pierre Juniors";"Pedreiro Júnior";"Маленький каменный патрон";"Pedrones Junior";"Giovane Lanciasassi";"";"";"";"Młodszy Kamienny Uścisk";"";"Pedreiro Júnior";"Küçük Stonechucklar";"";"Mladý Kameník";"Τζούνιορ πετραδάκης";"Kis Kődarabok";"";"Aruncătorul de Pietre Junior";"";"Маленький кам'яний патрон";"";"年少的磨石者";"年少的磨石者";"";"하급 돌 덩어리";"";""
"win_pve_attack_bronze_title";"The Two Musketeers";"Die zwei Musketiere";"Les Deux Mousquetaires";"Os Dois Mosqueteiros";"Два Мушкетера";"Los Dos Mosqueteros";"I Due Moschettieri";"";"";"";"Dwóch Muszkieterów";"";"Os Dois Mosqueteiros";"İki Silahşör";"";"Dva Mušketýři";"Οι δύο σωματοφύλακες";"A két muskétás";"";"Cei Doi Muschetari";"";"Два Мушкетери";"";"两个火枪手";"兩個步槍兵";"";"이총사";"";""
