"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"shop_item_name_Diamonds_0100";"Kristallsplitter";"Crystal Shards";"Éclats de cristaux";"Fragmentos de Cristal";"Осколки Кристаллов";"Fragmentos de Cristal";"Frammenti di Cristallo";"";"";"Kristal Scherven";"Odłamki Kryształu";"Kristallisirpaleet";"Estilhaços de Cristais";"Kristal Parçaları";"Кристални Фрагменти";"Pytlík Krystalů";"Θραύσματα Κρυστάλλων";"Kristály Szilánkok";"Krystall Skår";"Cioburi de cristal";"Fragmientos de Cristal";"Кришталеві осколки";"قطع الكرستال";"水晶碎片";"水晶碎片";"";"수정 조각";"ผลึกคริสตัล";""
"shop_item_name_Diamonds_0400";"Kristallschwung";"Crystal Batch";"Lot de Cristaux";"Carga de Cristais";"Горсть Кристаллов";"Lote de Cristales";"Manciata di Cristalli";"";"";"Hand vol met kristallen";"Partia Kryształów";"Kristallierä";"Lote de Cristais";"Kristal Yığını";"Купчина Кристали";"Hromádka Krystalů";"Δέσμη Κρυστάλλων";"Kristálykupac";"Krystall Parti";"Lot de cristal";"Lote de Cristal";"Гірстка Кристалів";"جعبة الكرستال";"水晶捆";"水晶捆";"";"수정 묶음";"";""
"shop_item_name_Diamonds_1500";"Kristallhaufen";"Crystal Pile";"Pile de cristaux";"Monte de Cristais";"Куча Кристаллов";"Pila de Cristales";"Pila di Cristalli";"";"";"Berg met Kristallen";"Stos Kryształów";"Kristallipino";"Pilha de Cristais";"Kristal Takımı";"Купчина Кристали";"Hromada Krystalů";"Στοίβα Κρυστάλλων";"Kristályhalom";"Krystall Haug";"Teanc de cristale";"Un monton de cristales";"Куча Кристалів";"كومة كرستال";"一堆水晶";"一堆水晶";"";"수정 더미";"";""
"shop_item_name_Diamonds_3500";"Kristallsack";"Crystal Bag";"Sac de cristaux";"Saco de Cristais";"Сумка Кристаллов";"Saco de Cristales";"Sacca di Cristalli";"";"";"Tas met Kristallen";"Torba Kryształów";"Kristallisäkki";"Sacola de Cristais";"Kristal Çantası";"Торба с Кристали";"Pytel Krystalů";"Ασκί Κρυστάλλων";"Kristályos Táska";"Krystall kurv";"Lot de cristal";"Bolsa de Cristal";"Кришталевий мішок";"حقيبة كرستال";"一袋水晶";"一袋水晶";"";"수정 자루";"";""
"shop_item_name_Diamonds_8000";"Kristallkiste";"Crystal Chest";"Coffre de cristaux";"Baú de Cristais";"Сундук Кристаллов";"Cofre de Cristales";"Forziere di Cristalli";"";"";"Schatkist met Kristallen";"Skrzynia Kryształów";"Kristalliarkku";"Baú de Cristais";"Kristal Kasası";"Сандък с Кристали";"Bedna s Krystaly";"Σεντούκι Κρυστάλλων";"Kristályos Láda";"krystall kiste";"Cufăr de cristale";"Cofre de Cristal";"Скриня кристалів";"صندوق كرستال";"一箱水晶";"一箱水晶";"";"수정 상자";"";""
"shop_item_name_bundle_large";"Silber Spezialpaket";"Silver Bundle";"Forfait d'argent";"Pacote Prata";"Серебряный Набор";"Bulto de Plata";"Bundle Argento";"";"";"Zilveren Bundel";"Srebrna Paczka";"Hopeapaketti";"Pacote de Prata";"Gümüş Paket";"Пакет Сребро";"Stříbrný Balíček";"Δεμάτι Ασημιού";"Ezüst Csomag";"Sølv pakke";"Pachet de argint";"Paquete de Plata";"Срібний набір";"حزمة فضية";"白银同捆包";"白銀同捆包";"";"실버 꾸러미";"";""
"shop_item_name_bundle_medium";"Bronze Spezialpaket";"Bronze Bundle";"Forfait de bronze";"Pacote Bronze";"Бронзовый Набор";"Bulto de Bronce";"Bundle Bronzo";"";"";"Bronzen bundel";"Brązowa Paczka";"Pronssipaketti";"Pacote de Bronze";"Bronz Paket";"Пакет Бронз";"Bronzový Balíček";"Δεμάτι Χαλκού";"Bronz Csomag";"Bronse pakke";"Pachet de bronz";"Paquete de Bronce";"Бронзовий Набір";"حزمة فضية";"青铜同捆包";"青銅同捆包";"";"브론즈 꾸러미";"";""
"shop_item_premium_time";"%d Tag Premiumaccount";"%d Day Premium Time";"%d jours de temps premium";"";"Премиум на %d Дней ";"%d Días de Premium";"%d giorni di tempo premium";"";"";"%d Dagen Premium Tijd";"%d dni statusu premium";"%d päivä premium-aikaa";"%d Dias de Tempo Premium";"%d Gün Premium Süresi";"%d Дена Премиум Време";"%d Premium den";"%d Ημέρα Χρόνου Προνομίων";"%d Nap Prémium Idő";"%d dag Premium Tid";"%d Zi Timp Premium";"%d Día de tiempo Premium";"Преміум на %d Днів";"";"%d 天付费会员时间";"%d 天付費會員時間";"";"프리미엄 기간 %d일";"";""
"shop_item_premium_time_plural";"%d Tage Premiumaccount";"%d Days Premium Time";"%d jours de temps premium";"";"Премиум на %d дней";"%d Días de Premium";"%d giorni di tempo premium";"";"";"%d Dagen Premium Tijd";"%d dni statusu premium";"%d päivää premium-aikaa";"%d Dias de Tempo Premium";"%d Gün Premium Süresi";"%d Дена Премиум Време";"%d Premium dní";"%d Ημέρες Χρόνου Προνομίων";"%d Nap Prémium Idő";"%d dager Premium Tid";"%d Zile Timp Premium";"%d Días de tiempo Premium";"Преміум на %d Днів";"";"%d 天付费会员时间";"%d 天付費會員時間";"";"프리미엄 기간 %d일";"";""
"shop_item_card_offer_locked_hint";"Beende die Freischaltquests dieser Karte, um sie mit Credits kaufen zu können.";"Complete the quest for this card to unlock the purchase by credits option.";"Complétez la quête de cette carte pour déverrouiller l’option d'achat par crédits.";"Completa o desafio desta carta para a puderes comprar usando créditos.";"Завершите квесты для этой карты, чтобы разблокировать опцию покупки за кредиты.";"Completa la búsqueda de esta tarjeta para liberar la adquisición por opción de créditos.";"Completa la missione per questa carta per sbloccare l'opzione di acquisto in crediti.";"";"";"Voltooi de zoektocht naar deze kaart om de aankoop met credits optie te ontgrendelen.";"Ukończyć quest dla tej karty odblokować zakupu przez opcję kredytów.";"Täydellinen pyrkimys tämän kortin avata ostaa hyvityksiä vaihto ehto.";"Complete a missão para desbloquear o cartão e compra por opção de créditos.";"Kredi ile satın alma seçeneğinin kilidini açmak için bu kartın dükkan görevini tamamlayın.";"Завършете куеста за тази карта, за да отключите опция за закупване с кредити.";"Dokonči úkoly pro tuto kartu, pro odemknutí možnosti nákupu za kredity.";"Ολοκλήρωσε την αποστολή αυτής της κάρτας για να μπορείς να αγοράσεις με μετρητά.";"Csináld meg a kártyához tartozó küldetéseket, hogy meg tudd vásárolni kreditekkel!";"Fullføre oppdrag for dette kortet for å låse opp kjøp av kreditter alternativ.";"Finalizează căutarea acestui card pentru a debloca opțiunea de cumpărare cu credite.";"Completar la misión de esta tarjeta para desbloquear la compra por parte de la opción de créditos.";"Завершіть квест для цієї карти, щоб розблокувати опцію купівлі за кредити.";"";"完成此卡的任务来解锁能以代币购买的选项。";"完成此卡的任務來解鎖能以代幣購買的選項。";"";"크레딧으로 구매하기를 잠금 해제하려면 이 카드에 대한 퀘스트를 완료하세요.";"";""
"shop_item_card_own_count_hint";"Anzahl der Karten dieses Typs im Besitz.";"Number of owned cards of this type.";"Nombre de cartes de ce type détenues.";"Número de cartas deste tipo que possuis.";"Количество уже имеющихся карт этого типа.";"Numero de cartas poseídas de este tipo.";"Numero di carte possedute di questo tipo.";"";"";"Aantal kaarten in bezit van dit type.";"Liczba posiadanych kart tego typu.";"Tämä tyypin omistuksessa olevien korttien määrä.";"Número de cartas adquiridas deste tipo.";"Sahip olduğunuz aynı tür kart sayısı.";"Брой притежавани карти от този тип.";"Počet vlastněných karet tohoto typu.";"Αριθμός τέτοιου τύπου κατεχόμενων καρτών.";"Ebből a típusból birtokolt kártyák száma.";"Antall egne kort av denne typen.";"Număr de carduri deținute de acest tip.";"Número de tarjetas propias de este tipo.";"Кількість вже наявних карт цього типу.";"";"已拥有此种类的卡数。";"已擁有此種類的卡數。";"";"보유하고 있는 이 유형의 카드 수";"";""
"shop_item_diamonds_bonus";"+%s Bonus";"+%s bonus";"+%s bonus";"+%s bónus";"Бонус +%s";"+%s bono";"+%s bonus";"";"";"+%s bonus";"+%s bonus";"+%s bonus";"+%s bônus";"+%s ekstra";"+%s бонус";"+%s bonus";"+%s μπόνους";"+%s bónusz!";"+%s bonus";"+%s bonus";"+%s de Bono";"Бонус +%s";"";"+%s 优惠";"+%s 優惠";"";"+%s 보너스";"";""
"shop_item_sold_out";"Im Besitz";"Owned";"Détenue";"Adquirido";"Имеется";"Poseído";"Posseduta";"";"";"In bezit";"Posiadane";"Omistettu";"Adquirido";"Mevcut";"Притежавано";"Vlastněno";"Κατεχόμενα";"Megszerezve";"Eid";"Detinut";"";"Є";"";"已拥有";"已擁有";"";"보유 중";"";""
"shop_message_premium";"Solange ein Premiumaccount aktiv ist, erhältst du nach jedem Spiel 150% Credits und Erfahrung. Außerdem erhöht sich die Anzahl deiner täglichen Quest-Ersetzungen auf 3.";"As long as premium time is active, you receive 150% credits and experience after each match. Moreover you have two additional rerolls for daily quests.";"Tant que le temps premium est actif, vous recevez 150% de crédits et d'expérience après chaque partie. De plus, vous disposez de deux remplacement supplémentaires pour les quêtes journalières.";"";"Пока включен премиумный статус, ты получаешь 150% кредитов и опыта после каждого матча. Кроме того, можешь два раза перевыбрать ежедневные квесты.";"Mientras el tiempo premium esté activo, recibirá 150% de créditos y experiencia después de cada partida. Además tienes dos rerolls adicionales para misiones diarias.";"Finchè il tuo tempo premium è attivo, riceverai il 150% di crediti ed esperienza dopo ogni match. Inoltre hai a disposizione due sostituzioni aggiuntive per le tue giornaliere.";"";"";"Zolang je premium tijd actief is, krijg je 150% credits en ervaring na elke wedstrijd. En je hebt 2 extra rerolls voor dagelijkse opdrachten.";"Tak długo jak status premium jest aktywny, otrzymujesz 150% kredytów i doświadczenia po każdym meczu. Do tego masz dodatkowe dwie możliwości zamiany zadań dziennych.";"Niin kauan kuin premium-aika on aktiivisena, saat 150 % krediittejä ja kokemusta jokaisen ottelun päätteeksi. Lisäksi voit arpoa päivittäiset tehtävät uudelleen kaksi kertaa normaalia enemmän.";"Enquanto o tempo premium estiver ativo, você receberá 150% créditos e experiência após cada partida. Além disso, terá direito a duas rolagens adicionais de missões diárias.";"Premium süresi aktif iken; oynadığınız oyunlardan %150 kredi ve tecrübe puanı kazanırsınız. Ek olarak günlük görev için iki adet ekstra yenileme hakkına da sahip olursunuz.";"";"Po dobu trvání premium obdržíš 150% kreditů a zkušeností po každém zápase. Navíc získáš dvě dodatečné výměny denních úkolů.";"Όσο ο χρόνος προνομίων είναι ενεργός, λαμβάνεις 150% μετρητά και εμπειρίας ύστερα από κάθε ματς. Επιπλέον έχεις δυο παραπάνω αντικαταστάσεις για καθημερινές αποστολές.";"";"Så lenge premiumtiden er aktiv, får du 150 % kreditter og erfaring etter hvert som de stemmer. Videre har du ytterligere to nye Forsøk til daglige oppdrag.";"Atât timp cât timpul premium este activ, primiți 150% credite și experiență după fiecare meci. Mai mult, aveți două treceri suplimentare pentru căutări zilnice.";"Mientras el tiempo Premium esté activo, recibirás 150% de créditos y experiencia después de cada partida. Además, tienes dos turnos adicionales para misiones diarias.";"Поки активний преміальний час, ви отримуєте 150% кредитів та досвід після кожного матчу. Крім того, ви можете два раза переорбрати щоденні квести.";"";"只要您的付费会员时间还启用着，您将由对战中赢得 150% 代币与经验。而且每日任务都可以有多两次重置的机会。";"只要您的付費會員時間還啟用著，您將由對戰中贏得 150% 代幣與經驗。而且每日任務都可以有多兩次重置的機會。";"";"프리미엄 기간에는 게임마다 150%의 크레딧과 경험치를 얻습니다.";"";""
"shop_nav_scDiamonds";"Kristalle";"Crystals";"Cristaux";"Cristais";"Кристаллы";"Cristales";"Cristalli";"";"";"Kristallen";"Kryształy";"Kristallit";"Cristais";"Kristal";"Кристали";"Krystaly";"Κρύσταλλοι";"Kristály";"Krystaller";"Cristale";"Cristales";"Кристали";"الجواهر";"水晶";"水晶";"";"수정";"คริสตัล";""
"shop_nav_scCredits";"Credits";"Credits";"Crédits";"Créditos";"Кредиты";"Créditos";"Crediti";"";"";"Credits";"Kredyty";"Krediitit";"Créditos";"Kredi";"Кредити";"Kredity";"Μετρητά";"Kredit";"Kreditter";"Credite";"Créditos";"Кредити";"الذهب";"代币";"代幣";"";"크레딧";"";""
"shop_nav_scCards";"Karten";"Cards";"Cartes";"Cartas";"Карты";"Cartas";"Carte";"";"Kort";"Kaarten";"Karty";"Kortit";"Cartas";"Kart";"Карти";"Karty";"Κάρτες";"Kártyák";"Kort";"Carduri";"Tarjetas";"Картки";"بطاقات";"卡牌";"卡片";"";"카드";"";""
"shop_nav_scCurrency";"Credits";"Credits";"Crédits";"Créditos";"Кредиты";"Créditos";"Crediti";"";"";"Credits";"Kredyty";"Krediitit";"Créditos";"Kredi";"Кредити";"Kredity";"Μετρητά";"Kredit";"Kreditter";"Credite";"Créditos";"Кредити";"نقود";"代币";"代幣";"";"크레딧";"";""
"shop_nav_scSkins";"Skins";"Skins";"Apparences";"Texturas";"Облики";"Aspecto";"Aspetti";"";"";"Kostuums";"Skórki";"Ulkoasut";"Skins";"Kostüm";"Скинове";"Skiny";"Εμφανίσεις";"Kinézetek";"Utseende";"Costum";"Pieles";"Скіни";"ملابس";"皮肤";"皮膚";"";"스킨";"";""
"shop_nav_scIcons";"Icons";"Icons";"Icônes";"Icons";"Иконки";"Iconos";"Icone";"";"Ikoner";"Iconen";"Ikony";"Ikonit";"Ícones";"Simge";"Икони";"Ikony";"Εικονίδια";"Ikonok";"Ikoner";"Icoane";"Iconos";"Іконки";"ايقونات";"图标";"圖標";"";"아이콘";"";""
"shop_nav_scPremiumTime";"Premium";"Premium";"Premium";"Premium";"Премиум";"Premium";"Premium";"";"Premium";"Premium";"Status premium";"Premium";"Premium";"Premium";"Премиум";"Premium";"Προνόμια";"Prémium";"Premium";"Premium";"Premium";"Преміум";"";"付费会员";"付費會員";"";"프리미엄";"";""
"shop_nav_scBonuscode";"Bonuscode einlösen";"Redeem bonus code";"Échangez le code bonus";"Redimir código bônus";"Использовать бонус код";"Canjear código de bono";"Riscatta codice bonus";"";"";"Bonus code verzilveren";"Wykorzystaj kod";"Lunasta bonuskoodi";"Resgatar código bônus";"Bonus kodu bozdur";"Активирай бонус код";"Bonusový kód";"Εξαργύρωση κωδικού μπόνους";"Bónuszkód beváltása";"";"Utilizați-vă codul bonus";"Redimir un código de bono.";"Отримати бонусний код";"استبدال الرمز";"兑换优惠代码";"兌換優惠代碼";"";"보너스 코드 사용";"";""
"shop_nav_scBundles";"Spezialpakete";"Bundles";"Forfaits";"Pacotes";"Наборы";"Bultos";"Bundle";"";"";"Bundels";"Paczki";"Paketit";"Pacotes";"Paket";"Пакети";"Balíčky";"Δεμάτια";"Csomagok";"";"Pachete";"Paquetes";"Набори";"حزم";"同捆包";"同捆包";"";"꾸러미";"";""
"shop_purchase_dialog_caption";"Aktueller Status";"Current State";"État actuel";"Estado Atual";"Состояние покупки";"Estado de compra";"Stato attuale";"";"";"Aankoop status";"Status zakupu";"Tämänhetkinen tila";"Status da Compra";"Durum";"Текущо състояние";"Aktuální stav";"Τρέχουσα Κατάσταση";"Jelenlegi Állapot";"";"Starea curentă";"Estado Actual";"Статус покупки";"الوضع الحالي";"当前状态";"當前狀態";"";"현재 상태";"";""
"shop_purchase_dialog_psProcessing";"In Bearbeitung...";"In progress...";"En cours...";"Em Progresso...";"Происходит покупка...";"En Proceso...";"In corso...";"";"";"Aankoop in behandeling...";"Przetwarzanie zakupu...";"Käynnissä...";"Compra em progresso...";"İşleniyor...";"Изпълнява се...";"Zpracovávám...";"Σε εξέλιξη...";"Folyamatban...";"";"În desfășurare...";"Procesando compra...";"В процесі...";"قيد التنفيذ ";"处理中....";"處理中....";"";"처리 중...";"";""
"shop_purchase_dialog_psSuccess";"Erfolgreich abgeschlossen!";"Done!";"Complété!";"Feito!";"Покупка успешна!";"Comprado con éxito!";"Fatto!";"";"";"Aankoop succesvol!";"Zakup udany!";"Suoritettu!";"Compra bem sucedida!";"Başarılı!";"Готово!";"Hotovo!";"Έτοιμο!";"Kész!";"";"Gata!";"¡Listo!";"Готово!";"تم";"完成 ！";"完成 ！";"";"완료!";"";""
"shop_purchase_dialog_psAborted";"Aktion wurde abgebrochen!";"Action aborted!";"Action annulée!";"Ação abortada!";"Покупка отменена!";"¡ Compra cancelada !";"Azione annullata!";"";"";"Aankoop afgebroken!";"Zakup odrzucony!";"Tapahtuma peruttu!";"Compra cancelada!";"İşlem iptal edildi!";"Действието прекратено!";"Akce zrušena!";"Η ενέργεια ματαιώθηκε!";"Művelet megszakítva!";"";"Acțiune anulată!";"Acción abortada!";"Дію перервано!";"الغاء الطلب";"动作已取消！";"動作已取消！";"";"작업이 중단되었습니다!";"";""
