"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"card_stats_charge_count";"Ladungen";"Charges";"Charges";"Cargas";"Заряд";"Cargas";"Cariche";"Opladninger";"Laddningar";"Ladingen";"Ładunki";"Käyttökerrat";"Cargas";"Yük";"";"Počet aplikací";"Φόρτιση";"Töltések";"";"Taxe";"Cargas";"Збори";"";"集气";"集氣";"";"충전";"";""
"card_stats_charge_cooldown";"Ladungsabklingzeit";"Charge cooldown";"Temps de recharge de la charge";"Recarga de carga";"Перезарядка";"Enfriamiento de carga";"Attesa caricamento";"Opladnings nedkøling";"Nedkylning av laddning";"Lading vervaltijd";"Odnowienie ładunku";"Käyttökerran latausaika";"Tempo de recarga das Cargas";"Yük yenilemesi";"";"Obnova aplikace";"Αναμονή φόρτισης";"Újratöltési idő";"";"Încarcă reducerea timplului";"";"Перезарядка";"";"集气冷却";"集氣冷卻";"";"충전 재사용 대기 시간";"";""
"card_stats_cost";"Kosten";"Cost";"Côut";"Custo";"Стоимость";"Coste";"Costo";"Omkostning";"Kostnad";"Kosten";"Koszt";"Hinta";"Custo";"Ücret";"";"Cena";"Κόστος";"Ár";"";"Preț";"Costo";"Вартість";"";"成本";"成本";"";"비용";"";""
"card_stats_tier";"Phase";"Stage";"Phase";"Etapa";"Стадия";"Etapa";"Fase";"Stadie";"Steg";"Fase";"Etap";"Vaihe";"Fase";"Evre";"";"Fáze";"Στάδιο";"Szakasz";"Stadie";"Etapă";"Etapa";"Етап";"مرحلة";"阶段";"階段";"";"스테이지";"";""
"card_stats_squad_size";"Truppgröße";"Squad size";"Taille de l'escouade";"Tamanho do esquadrão";"Размер отряда";"Tamaño del pelotón";"Dimensione squadra";"Hold størrelse";"Gruppstorlek";"Eenheids grootte";"Rozmiar zespoły";"Ryhmän koko";"Tamanho do Esquadrão";"Birlik büyüklüğü";"";"Velikost oddílu";"Μέγεθος ομάδας";"Csapat méret";"";"Mărimea echipei";"Tamaño de Escuadrón";"Розмір команди";"";"分队大小";"分隊大小";"";"분대 크기";"";""
"card_stats_health";"Lebenspunkte";"Health";"Santé";"Vida";"Здоровье";"Vida";"Salute";"Liv";"Hälsa";"Levenspunten";"Punkty życia";"Terveys";"Vida";"Can";"";"Životy";"Υγεία";"Életerő";"";"Viață";"Salud";"Здоров'я";"";"生命值";"生命值";"";"체력";"";""
"card_stats_energy";"Energie";"Energy";"Énergie";"Energia";"Энергия";"Energía";"Energia";"Energi";"Energi";"Energie";"Energia";"Energia";"Energia";"Enerji";"";"Energie";"Ενέργεια";"Energia";"";"Energie";"Energía";"Енергія";"";"能量";"能量";"";"에너지";"";""
"card_stats_armor";"Rüstungsklasse";"Armor";"Armure";"Armadura";"Броня";"Armadura";"Armatura";"Rustning";"Rustning";"Bepantsering";"Pancerz";"Panssari";"Armadura";"Zırh";"";"Brnění";"Πανοπλία";"Páncél";"";"Armură";"Armadura";"Броня";"";"护甲";"護甲";"";"방어력";"";""
"card_stats_dps";"SPS";"DPS";"DPS";"DPS";"УВС";"DPS";"DPS";"SPS";"SPS (Skada Per Sekund)";"DPS";"DPS";"Vahinkoa sekunnissa";"DPS";"SBH";"";"DPS";"ΖΑΔ";"Másodpercenkénti sebzés";"";"DPS";"DPS";"ПЗС";"";"每秒的伤害";"每秒傷害";"";"DPS";"";""
"card_stats_attack_damage";"Schaden pro Angriff";"Damage per hit";"Dégats par attaque";"Dano por golpe";"Урон за один удар";"Daño por segundo";"Danno per colpo";"Skade per slag";"Skada per träff";"Schade per treffer";"Obrażenia na atak";"Vahinkoa per osuma";"Dano por acerto";"Vuruş hasarı";"";"Poškození za úder";"Ζημιά ανά χτύπημα";"Sebzés ütésenként";"";"Daune pe lovitură";"Daño por golpe";"Пошкодження за удар";"";"每击所造成的伤害";"每次擊中造成傷害";"";"타격당 피해량";"";""
"card_stats_attack_cooldown";"Angriffsgeschwindigkeit";"Attack speed";"Vitesse d'attaque";"Velocidade de ataque";"Скорость атаки";"Velocidad de ataque";"Velocità d'attacco";"Angrebs hastighed";"Attack hastighet";"Aanval snelheid";"Prędkość ataku";"Hyökkäysnopeus";"Velocidade de ataque";"Saldırı hızı";"";"Rychlost útoku";"Ταχύτητα επίθεσης";"Támadási sebesség";"";"Viteza de atac";"Velocidad de ataque";"Швидкість атаки";"";"攻击速度";"攻擊速度";"";"공격 속도";"";""
"card_stats_attack_range";"Reichweite";"Range";"Portée";"Alcance";"Диапазон";"Rango";"Gittata";"Afstand";"Räckvidd";"Afstand";"Zasięg";"Hyökkäysetäisyys";"Alcance";"Menzil";"";"Dosah";"Εμβέλεια";"Hatótáv";"";"Rază de acțiune";"Alcance";"Дальність";"";"范围";"範圍";"";"사정거리";"";""
"deckbuilding_cardpool_pagecounter";"Seite %d/%d";"Page %d/%d";"Page %d/%d";"Página %d/%d";"Страница %d/%d";"Página";"Pagina %d/%d";"Side %d/%d";"Sida %d/%d";"Pagina %d/%d";"Strona %d/%d";"Sivu %d/%d";"Página %d/%d";"Sayfa %d/%d";"";"Page %d/%d";"Σελίδα %d/%d";"%d/%d. oldal";"";"Pagina %d/%d";"Página %d/%d";"Сторінка %d/%d";"";"第 %d/%d 页";"頁數 %d/%d";"";"%d/%d 장";"";""
"deckbuilding_deck_add";"Neues Deck erstellen";"Add new deck";"Ajouter un nouveau deck";"Adicionar novo baralho";"Добавить новую колоду";"Añadir nueva baraja";"Aggiungi nuovo mazzo";"Tilføj ny kortbunke";"Lägg till ny kortlek";"Nieuw deck toevoegen";"Dodaj nową talię";"Lisää uusi pakka";"Adicionar novo deck";"Yeni deste ekle";"";"Přidat nový balíček";"Πρόσθεσε νέα τράπουλα";"Új pakli";"";"Adăugați punte nouă";"Añadir nuevo Paquete";"Додати нову колоду";"";"新增牌组";"加入新套牌";"";"새 덱 만들기";"";""
"deckbuilding_deck_slot_buy";"Deckplatz kaufen";"Buy deck slot";"Acheter un emplacement de deck";"Compra mais espaço";"Купить слот для колоды";"Comprar ranura de baraja";"Compra uno slot per il mazzo";"Køb kortbunke plads";"Köp kortleksplats";"Koop deck slot";"Kup miejsce na talię";"Osta pakkapaikka";"Comprar novo espaço para deck";"Deste alanı satın al";"";"Koupit místo na balíček";"Αγόρασε θέση τράπουλας";"Paklihely vásárlása";"";"Cumpărați un slot pentru punte";"Comprar espacio para Paquete.";"Купити слот для колоди";"";"购买牌组空位";"購買套牌空位";"";"덱 슬롯 구매하기";"";""
"deckbuilding_deck_slot_new";"Zusätzlicher Deckplatz";"Additional deck slot";"Nouvel emplacement de deck";"Baralho adicional";"Дополнительный слот для колоды";"Ranura de baraja adicional";"Slot per mazzi addizionale";"Ekstra kortbunke plads";"Ytterligare kortleksplats";"Extra deck slot";"Dodatkowe miejsce na talię";"Ylimääräinen pakkapaikka";"Espaço de deck adicional";"Ek deste alanı";"";"Dodatečné místo na balíček";"Επιπρόσθετη θέση τράπουλας";"További paklihely";"";"Slot suplimentar pentru punte";"Spacio adicional de Paquete";"Додатковий слот для колоди";"";"额外牌组空位";"額外套牌空位";"";"추가 덱 슬롯";"";""
"deckbuilding_deck_close";"Fertig";"Done";"Terminer";"Feito";"Завершено";"Hecho";"Fatto";"Færdig";"Klar";"Klaar";"Zrobione";"Valmis";"Concluído";"Tamam";"";"Hotovo";"Έτοιμο";"Kész";"";"Realizat";"Hecho";"Гаразд";"";"已完成";"完成";"";"완료";"";""
"deckbuilding_deck_default_name";"Mein Deck";"My Deck";"Mon deck";"O Meu Baralho";"Моя колода";"Mi Mazo";"Il mio mazzo";"Min Kortbunke";"Min Kortlek";"Mijn Deck";"Moja Talia";"Pakkani";"Meu Deck";"Destem";"";"Můj Balíček";"Η Τράπουλά μου";"Én kicsi paklim";"";"Puntea mea";"Mi Paquete";"Моя колода";"";"我的牌组";"我的套牌";"";"새로운 덱";"";""
"deckbuilding_deckicon_list_caption";"Wähle ein Icon für das Deck!";"Choose an icon for this deck!";"Choisissez une icône pour ce deck!";"Escolhe um icon para este baralho!";"Выберите иконку для этой колоды!";"¡ Elige un icono para tu baraja !";"Scegli un'icona per questo mazzo!";"Vælg et ikon for denne kortbunke!";"Välj en ikon för denna kortlek!";"Kies een icoon uit voor dit deck!";"Wybierz ikonę dla talii!";"Valitse ikoni tälle pakalle!";"Escolha um ícone para este deck!";"Bu deste için simge seç!";"";"Vyber ikonu pro tento balíček!";"Διάλεξε ένα εικονίδιο γι' αυτήν την τράπουλα!";"Válassz ikont a paklihoz!";"";"Alegeți o pictogramă pentru acestă punte!";"¡Elige un icono para este paquete!";"Виберіть піктограму для цієї колоди!";"";"为此牌组选取一个图标！";"為此套牌選取一個圖標！";"";"이 덱의 아이콘을 선택해주세요!";"";""
"deckbuilding_deck_card_add_color_exceed";"Ein Deck darf maximal 2 Farben enthalten.";"A deck must not contain more than 2 colors.";"Un deck ne peut contenir plus de 2 couleurs.";"Um baralho não pode conter mais do que 2 cores.";"Колода не должна содержать более 2 цветов.";"Una baraja no debe tener más de dos colores.";"Un mazzo non deve contenere più di due colori.";"En kortbunke må ikke indholde mere end 2 farver.";"En kortlek får inte innehålla mer än 2 färger.";"Een deck mag niet meer dan 2 kleuren bevatten.";"Talia nie może zawierać więcej niż 2 kolory.";"Pakka ei voi sisältää yli kahta väriä.";"O deck precisa conter não mais que duas cores.";"Desteler en fazla iki renk karta sahip olabilir.";"";"Balíček nemůže obsahovat více než 2 barvy.";"Μια τράπουλα δεν πρέπει να περιέχει πάνω από 2 χρώματα.";"A pakli nem tartalmazhat 2-nél több színt!";"";"O punte nu trebuie să conțină mai mult de 2 culori.";"Un paquete no debe contener más de 2 colores.";"Колода не повинна містити більше 2-х кольорів.";"";"一套牌组不能含有两种以上的卡牌颜色。";"一組套牌不能含有兩種以上的卡牌顏色。";"";"덱은 두 개 이상의 색이 포함될 수 없습니다.";"";""
"deckbuilding_list_caption";"Deckliste";"Decklist";"Liste de decks";"";"Перечень колод";"Lista de Mazos";"Lista del mazzo";"Kortliste";"Kortleks lista";"Decklijst";"Lista talii";"Pakkalista";"Lista de decks";"Deste listesi";"";"Seznam balíčků";"Λίστα τραπουλών";"Paklik";"";"Lista punților";"Lista de Paquetes";"Список колод";"";"牌组清单";"套牌清單";"";"덱 목록";"";""
"deckbuilding_card_dialog_open";"Kartendetails öffnen";"Show card details";"Montrer les détails de la carte";"Mostrar detalhes da carta";"Отобразить свойства карты";"Mostrar estadísticas de la carta";"Mostra i dettagli della carta";"Vis kort detaljer";"Visa kortdetaljer";"Laat kaart details zien";"Pokaż detale karty";"Näytä kortin tiedot";"Mostrar detalhes da carta";"Kart detaylarını göster";"";"Zobraz detaily karty";"Εμφάνισε λεπτομέρειες κάρτας";"Részletek";"";"Afișează detaliile cardului";"Mostrar detalles de la tarjeta";"Показати деталі карти";"";"显示卡牌详情";"顯示卡片詳情";"";"세부 정보 보기";"";""
"deckbuilding_skin_dialog_open";"Skin auswählen";"Choose skin";"Choisir une peau";"Escolher Textura";"Выбрать скин";"Elegir aspecto";"Scegli un aspetto";"Vælg tema";"Välj utseende";"Skin uitkiezen";"Wybierz skórkę";"Valitse ulkoasu";"Escolha a skin";"Kostüm seç";"";"Vyber vzhled";"Διάλεξε εμφάνιση";"Kinézet";"";"Selectează Skin-ul";"Elija la piel";"Вибрати скін";"";"选择皮肤";"選擇皮膚";"";"스킨 선택";"";""
"deckbuilding_skin_dialog_open_no_skins";"Für diese Karte gibt es momentan noch keine Skins";"No skins available yet.";"Pas encore de peaux disponible.";"Nenhuma textura disponível ainda.";"Скинов пока нет в наличии.";"No hay aspectos disponibles aún.";"Nessun aspetto disponibile.";"Ingen temaer tilgængelige endnu.";"Inga utseenden tillgängliga än.";"Nog geen skins beschikbaar.";"Nie ma jeszcze skórek dla tej jednostki.";"Ulkoasuja ei ole saatavilla vielä.";"Não há skins disponíveis ainda.";"Seçilebilir bir kostüm yok.";"";"Jiný vzhled zatím není k dispozici.";"Καμιά εμφάνιση ακόμη διαθέσιμη.";"Nem érhető el kinézet.";"";"Nu există încă skin-uri disponibile.";"Aún no hay pieles disponibles.";"Жодних скінів поки немає.";"";"目前没有可用皮肤";"還沒有可用的皮膚。";"";"아직 사용 가능한 스킨이 없습니다.";"";""
"deckbuilding_skin_dialog_caption";"Skin auswählen";"Choose skin";"Choisir une peau";"Escolher Textura";"Выбрать скин";"Elegir aspecto";"Scegli un aspetto";"Vælg tema";"Välj utseende";"Skin uitkiezen";"Wybierz skórkę";"Valitse ulkoasu";"Escolha a skin";"Kostüm seç";"";"Vyber vzhled";"Διάλεξε εμφάνιση";"Válassz kinézetet!";"";"Selectează Skin-ul";"Elija la piel";"Вибрати скін";"";"选择皮肤";"選擇皮膚";"";"스킨 선택";"";""
"deckbuilding_skin_dialog_lock_hint";"Du hast diesen Skin noch nicht freigeschaltet. Besuche den Shop, um dies zu ändern!";"You don´t own this skin yet. (Click to open in Shop)";"Vous ne possédez pas encore cette peau. (Cliquez pour ouvrir dans la boutique)";"Ainda não tens esta textura. (Clica para abrires na loja)";"У вас ещё нет этого скина. (Нажмите, чтобы открыть в Магазине)";"Aún no tienes este aspecto. (Haz click para abrir en la tienda)";"Non possiedi ancora questo aspetto. (Clicca per aprire il Negozio)";"Du ejer ikke dette tema endnu. (Klik her for at åbne i butikken)";"Du äger inte den här utseendet än. (Klicka här om du vill öppna i Shop)";"Je bent nog niet in het bezit van deze huid. (Klik om te openen in Shop)";"Nie posiadasz jeszcze tej skórki. (Kliknij aby otworzyć sklep)";"Et omista tätä ulkoasua vielä. (Klikkaa avataksesi kaupan)";"Você ainda não tem essa skin. (Clique aqui para abrir na Loja)";"Bu kostüme sahip değilsiniz. (Dükkana gitmek için tıkla)";"";"Tento skin nevlastníš. (Klikni sem pro přesun do Obchodu)";"Δε σου ανήκει ακόμη αυτή η εμφάνιση. (Κλίκαρε για να ανοίξεις το Κατάστημα)";"Nem birtoklod ezt a kinézetet. (Kattintással nyisd meg a boltot)";"";"Încă nu dețineți aceast skin. (Faceți clic pentru a deschide în magazin)";"Todavía no tienes esta piel. (Pulse para abrir en Shop)";"Ви не володієте цим скіном. (Натисніть, щоб відкрити в магазині)";"";"您尚未拥有此皮肤。 (点击可于商店内开启)";"你尚未擁有此皮膚。 (點擊可於商店內開啟)";"";"아직 이 스킨을 소유하고 있지 않습니다. (클릭하여 상점에서 보기)";"";""
"decklist_delete_btn_hint";"Deck löschen";"Delete Deck";"Supprimer le deck";"Eliminar Baralho";"Удалить Колоду";"Eliminar Mazo";"Elimina Mazzo";"Slet Kortbunke";"Radera Kortlek";"Deck verwijderen";"Usuń Talię";"Poista pakka";"Delete o deck";"Desteyi Sil";"";"Odstranit Balíček";"Διάγραψε Τράπουλα";"Pakli törlése";"";"Ștergeți Puntea";"Eliminar paquete";"Видалити Колоду";"";"删除牌组";"刪除套牌";"";"덱 삭제";"";""
"decklist_delete_dialog_caption";"Decklöschung bestätigen";"Confirmation";"Confirmation";"Confirmação";"Подтверждение";"Confirmación";"Conferma";"Bekræftelse";"Bekräftelse";"Bevestiging";"Potwierdzenie";"Vahvistus";"Confirmação";"Desteyi Sil";"";"Potvrzení";"Επιβεβαίωση";"Megerősítés";"";"Confirmare";"Confirmación";"Підтвердження";"";"确认";"確認";"";"확인";"";""
